Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Montenegro,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,2004,74.5,90,90,N/A,45.2,32.3,N/A,70,N/A,83.2,79.8,90,90
North Macedonia,2004,56.8,30,33,N/A,84.6,48.1,N/A,55,N/A,83.3,57.4,50,70
Norway,2004,66.2,90,85,N/A,50.8,31.7,N/A,70,N/A,86.3,81.8,50,50
Poland,2004,58.7,50,40,N/A,64.9,35.1,N/A,70,N/A,78.1,70.4,50,70
Portugal,2004,64.9,70,63,N/A,62.3,36.2,N/A,70,N/A,82.9,79.8,70,50
Romania,2004,50,30,26,N/A,69.9,74.8,N/A,55,N/A,56.8,57.6,30,50
Russia,2004,52.8,30,27,N/A,91.6,65.1,N/A,55,N/A,63.4,63.2,50,30
Serbia ,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,2004,64.6,50,37,N/A,68.5,42.4,N/A,70,N/A,80.8,72.8,70,90
Slovenia,2004,59.2,50,60,N/A,54.4,40.6,N/A,85,N/A,77.3,65.2,50,50
Spain,2004,68.9,70,71,N/A,52.9,52.7,N/A,70,N/A,83.6,79.8,70,70
Sweden,2004,70.1,90,93,N/A,32,0,N/A,70,N/A,85.8,79.8,90,90
Switzerland,2004,79.5,90,85,N/A,80.6,55.8,N/A,70,N/A,89.4,85,70,90
Turkey,2004,52.8,50,32,N/A,60.8,56.9,N/A,55,N/A,46.1,74.2,50,50
Ukraine,2004,53.7,30,24,N/A,67.5,77.8,N/A,55,N/A,74.5,74.4,30,50
United Kingdom,2004,77.7,90,87,N/A,61.2,50.1,N/A,85,N/A,86.6,79.8,70,90
Albania,2003,56.8,30,10,N/A,83.8,70.4,N/A,55,N/A,85.8,56.2,70,50
Armenia,2003,67.3,50,25,N/A,88.9,84.1,N/A,55,N/A,81.7,81.2,70,70
Austria,2003,67.6,90,78,N/A,45.3,18.6,N/A,70,N/A,85.1,81.4,70,70
Azerbaijan,2003,54.1,30,20,N/A,78.4,87,N/A,55,N/A,84.8,71.6,30,30
Belarus,2003,39.7,30,41,N/A,65.3,41.1,N/A,40,N/A,14.1,66,30,30
Belgium,2003,68.1,90,66,N/A,33.7,26.8,N/A,70,N/A,85.2,81.4,90,70
Bosnia and Herzegovina,2003,40.6,10,10,N/A,66.1,3.2,N/A,40,N/A,77.9,78.2,30,50
Bulgaria,2003,57,50,39,N/A,72.4,56.7,N/A,55,N/A,77.5,62.4,50,50
Croatia,2003,53.3,30,39,N/A,77.6,28.6,N/A,55,N/A,76.3,72.8,50,50
Cyprus,2003,73.3,90,70,N/A,70.7,59.8,N/A,85,N/A,85,79.4,50,70
Czech Republic,2003,67.5,70,39,N/A,67.2,45.6,N/A,70,N/A,81.9,73.6,70,90
Denmark,2003,73.2,90,95,N/A,32.6,9.9,N/A,100,N/A,89.9,81.4,70,90
Estonia,2003,77.7,70,56,N/A,80.4,58.3,N/A,85,N/A,85.7,84.2,90,90
Finland,2003,73.7,90,99,N/A,54.9,28,N/A,85,N/A,84.7,81.4,70,70
France,2003,59.2,70,67,N/A,41.3,15.7,N/A,70,N/A,87,81.4,50,50
Georgia,2003,58.6,30,23,N/A,90.6,88.9,N/A,55,N/A,74.8,64.8,50,50
Germany,2003,69.7,90,74,N/A,55.7,30,N/A,70,N/A,86.6,81.4,90,50
Greece,2003,58.8,50,42,N/A,57.2,50.3,N/A,70,N/A,78.5,81.4,50,50
Hungary,2003,63,70,53,N/A,65.6,22.3,N/A,70,N/A,70.6,76,70,70
Iceland,2003,73.5,90,92,N/A,69,43,N/A,85,N/A,84.7,77.8,70,50
Ireland,2003,80.9,90,75,N/A,69.4,66.3,N/A,85,N/A,81.2,81.4,90,90
Italy,2003,64.3,70,55,N/A,48,29.4,N/A,70,N/A,84.7,81.4,70,70
Latvia,2003,66,50,34,N/A,78.3,58,N/A,70,N/A,84.9,78.6,70,70
Liechtenstein,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2003,69.7,50,48,N/A,78.8,71.5,N/A,70,N/A,88.1,80.4,70,70
Luxembourg,2003,79.9,90,87,N/A,59.8,51.5,N/A,85,N/A,84.7,81.4,90,90
Malta,2003,61.1,90,30,N/A,63.5,36.8,N/A,85,N/A,79.8,65,50,50
Moldova,2003,60,50,31,N/A,81.3,78.6,N/A,55,N/A,63.4,80.4,50,50
Montenegro,2003,43.5,30,10,N/A,79.8,89.2,N/A,40,N/A,34.2,68.4,10,30
Netherlands,2003,74.6,90,88,N/A,44.1,35.4,N/A,70,N/A,82.8,81.4,90,90
North Macedonia,2003,60.1,30,33,N/A,80.3,85.7,N/A,55,N/A,80.9,56,50,70
Norway,2003,67.2,90,86,N/A,50.9,41.4,N/A,70,N/A,84.1,82.8,50,50
Poland,2003,61.8,70,41,N/A,65.6,46.1,N/A,70,N/A,73.5,70.2,50,70
Portugal,2003,64.9,70,63,N/A,61.8,35.7,N/A,70,N/A,82.6,81.4,70,50
Romania,2003,50.6,30,28,N/A,69.1,62.4,N/A,55,N/A,50.8,60.2,50,50
Russia,2003,50.8,30,23,N/A,90.6,64.5,N/A,55,N/A,57,57.4,50,30
Serbia ,2003,43.5,30,10,N/A,79.8,89.2,N/A,40,N/A,34.2,68.4,10,30
Slovak Republic,2003,59,50,37,N/A,67.5,22.3,N/A,70,N/A,71.3,72.8,70,70
Slovenia,2003,57.7,50,52,N/A,53.1,40.6,N/A,85,N/A,76.7,62.2,50,50
Spain,2003,68.8,70,70,N/A,52.6,52.2,N/A,70,N/A,83.3,81.4,70,70
Sweden,2003,70,90,90,N/A,29.8,2.9,N/A,70,N/A,86.4,81.4,90,90
Switzerland,2003,79,90,84,N/A,80.4,55.3,N/A,70,N/A,88.3,83,70,90
Turkey,2003,51.9,50,36,N/A,64.6,45,N/A,55,N/A,42.9,73.6,50,50
Ukraine,2003,51.1,30,21,N/A,67.1,68.1,N/A,55,N/A,64,74.6,30,50
United Kingdom,2003,77.5,90,83,N/A,60.9,51,N/A,85,N/A,85.9,81.4,70,90
Albania,2002,56.8,30,10,N/A,79.2,67.3,N/A,55,N/A,86,63.4,70,50
Armenia,2002,68,50,25,N/A,88.3,81.3,N/A,55,N/A,91.1,81.4,70,70
Austria,2002,67.4,90,77,N/A,44.5,18.9,N/A,70,N/A,86.4,79.6,70,70
Azerbaijan,2002,53.3,30,15,N/A,78.4,88,N/A,55,N/A,78.8,74.4,30,30
Belarus,2002,39,30,41,N/A,68.2,36.5,N/A,40,N/A,0,75.4,30,30
Belgium,2002,67.6,90,61,N/A,33.7,28,N/A,70,N/A,86,79.6,90,70
Bosnia and Herzegovina,2002,37.4,10,10,N/A,66.8,0,N/A,40,N/A,77.2,72.6,30,30
Bulgaria,2002,57.1,50,35,N/A,68.3,49.6,N/A,55,N/A,75.8,60.2,70,50
Croatia,2002,51.1,30,37,N/A,68.3,25,N/A,55,N/A,75.7,68.8,50,50
Cyprus,2002,73,90,70,N/A,71.2,58.9,N/A,85,N/A,83.5,78.8,50,70
Czech Republic,2002,66.5,70,43,N/A,66.8,33.7,N/A,70,N/A,82.2,73,70,90
Denmark,2002,71.1,90,98,N/A,32.2,5.9,N/A,85,N/A,89.6,79.6,70,90
Estonia,2002,77.6,70,57,N/A,80,54.4,N/A,85,N/A,87,85,90,90
Finland,2002,73.6,90,100,N/A,55.6,28,N/A,85,N/A,84.6,79.6,70,70
France,2002,58,70,67,N/A,37.2,15.7,N/A,70,N/A,82.7,79.6,50,50
Georgia,2002,56.7,30,23,N/A,90.7,85.5,N/A,55,N/A,67.4,79.2,50,30
Germany,2002,70.4,90,76,N/A,53.3,36.5,N/A,70,N/A,88,79.6,90,50
Greece,2002,59.1,50,49,N/A,50.1,54.4,N/A,70,N/A,78.7,79.6,50,50
Hungary,2002,64.5,70,52,N/A,65.5,28,N/A,70,N/A,74.7,80,70,70
Iceland,2002,73.1,90,91,N/A,63.1,44.5,N/A,85,N/A,81.7,82.2,70,50
Ireland,2002,80.5,90,72,N/A,66.5,69.3,N/A,85,N/A,81.8,79.6,90,90
Italy,2002,63.6,70,46,N/A,48,33.7,N/A,70,N/A,85.5,79.6,70,70
Latvia,2002,65,50,34,N/A,76.8,49.6,N/A,70,N/A,84.4,80,70,70
Liechtenstein,2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2002,66.1,50,41,N/A,74.1,69.3,N/A,70,N/A,87.7,82.8,70,50
Luxembourg,2002,79.4,90,86,N/A,56.8,52,N/A,85,N/A,85.2,79.6,90,90
Malta,2002,62.2,90,30,N/A,64.6,30.9,N/A,70,N/A,79.1,75.4,50,70
Moldova,2002,57.4,50,26,N/A,78.2,76.5,N/A,55,N/A,54.7,76,50,50
Montenegro,2002,46.6,30,10,N/A,89.8,74.8,N/A,40,N/A,46.8,88.4,10,30
Netherlands,2002,75.1,90,89,N/A,43.6,39.3,N/A,70,N/A,84.6,79.6,90,90
North Macedonia,2002,58,30,33,N/A,81,63.3,N/A,55,N/A,77.2,63,50,70
Norway,2002,67.4,90,91,N/A,51.1,41.9,N/A,70,N/A,79.3,82.8,50,50
Poland,2002,65,70,41,N/A,65.3,49.6,N/A,70,N/A,70.4,78.8,70,70
Portugal,2002,65.4,70,64,N/A,60.8,39.3,N/A,70,N/A,84.7,79.6,70,50
Romania,2002,48.7,30,29,N/A,64.4,58.9,N/A,55,N/A,46.6,74.4,50,30
Russia,2002,48.7,30,21,N/A,84.9,58.9,N/A,55,N/A,51.3,57.4,50,30
Serbia ,2002,46.6,30,10,N/A,89.8,74.8,N/A,40,N/A,46.8,88.4,10,30
Slovak Republic,2002,59.8,50,35,N/A,61.1,33.7,N/A,70,N/A,68.8,79.8,70,70
Slovenia,2002,57.8,50,55,N/A,51.8,41.9,N/A,85,N/A,72,64.2,50,50
Spain,2002,68.8,70,70,N/A,53.1,52,N/A,70,N/A,84.1,79.6,70,70
Sweden,2002,70.8,90,94,N/A,31.4,2.5,N/A,70,N/A,89.7,79.6,90,90
Switzerland,2002,79.3,90,86,N/A,80,56.7,N/A,70,N/A,88.1,83,70,90
Turkey,2002,54.2,50,38,N/A,65.2,58.9,N/A,55,N/A,41,79.6,50,50
Ukraine,2002,48.2,30,15,N/A,66.1,58.9,N/A,55,N/A,58.2,71,50,30
United Kingdom,2002,78.5,90,87,N/A,61.5,58.9,N/A,85,N/A,84.7,79.6,70,90
Albania,2001,56.6,30,23,N/A,79.5,71.2,N/A,70,N/A,71.8,63.8,70,30
Armenia,2001,66.4,50,30,N/A,81.9,85.5,N/A,55,N/A,77.8,77,70,70
Austria,2001,68.1,90,76,N/A,44.2,25,N/A,70,N/A,89.6,78,70,70
Azerbaijan,2001,50.3,30,17,N/A,71.8,86.8,N/A,55,N/A,65.1,66.8,30,30
Belarus,2001,38,30,34,N/A,66,41.9,N/A,40,N/A,0,70.2,30,30
Belgium,2001,63.8,90,53,N/A,33.2,22,N/A,70,N/A,88.3,78,70,70
Bosnia and Herzegovina,2001,36.6,10,10,N/A,67,0,N/A,40,N/A,75.2,67.6,30,30
Bulgaria,2001,51.9,50,33,N/A,58.1,67.3,N/A,55,N/A,26.2,57.2,70,50
Croatia,2001,50.7,30,27,N/A,66.9,33.7,N/A,55,N/A,71.7,71.6,50,50
Cyprus,2001,71,90,50,N/A,71.4,58.9,N/A,85,N/A,86.2,77,50,70
Czech Republic,2001,70.2,70,46,N/A,67.5,49.6,N/A,85,N/A,81.2,72.8,70,90
Denmark,2001,68.3,90,100,N/A,31.6,0,N/A,85,N/A,90.3,78,70,70
Estonia,2001,76.1,70,57,N/A,79.6,67.3,N/A,85,N/A,80.6,85,90,70
Finland,2001,69.7,90,98,N/A,55.6,28,N/A,70,N/A,87.9,78,70,50
France,2001,58,70,66,N/A,33.9,18.9,N/A,70,N/A,85,78,50,50
Georgia,2001,58.3,50,23,N/A,90.9,89.2,N/A,55,N/A,61.1,75.6,50,30
Germany,2001,69.5,90,80,N/A,44.7,33.7,N/A,70,N/A,89.4,78,90,50
Greece,2001,63.4,70,49,N/A,50.9,54.4,N/A,70,N/A,78.3,78,70,50
Hungary,2001,65.6,70,52,N/A,65.7,41.9,N/A,70,N/A,73.3,77.8,70,70
Iceland,2001,73.4,90,92,N/A,62.9,58.9,N/A,70,N/A,84.6,82.4,70,50
Ireland,2001,81.2,90,77,N/A,63,71.2,N/A,85,N/A,86.6,78,90,90
Italy,2001,63,70,47,N/A,47.1,28,N/A,70,N/A,86.5,78,70,70
Latvia,2001,66.4,50,34,N/A,75.5,65.3,N/A,70,N/A,83.2,80,70,70
Liechtenstein,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2001,65.5,50,38,N/A,71,73,N/A,70,N/A,84.8,82.8,70,50
Luxembourg,2001,80.1,90,88,N/A,52.5,58.9,N/A,85,N/A,88.6,78,90,90
Malta,2001,62.9,90,30,N/A,65.7,41.9,N/A,70,N/A,74.5,73.6,50,70
Moldova,2001,54.9,50,26,N/A,54.5,76.5,N/A,55,N/A,55.9,76.4,50,50
Montenegro,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,2001,73,90,90,N/A,38.4,25,N/A,70,N/A,85.7,78,90,90
North Macedonia,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,2001,67.1,90,89,N/A,56.7,36.5,N/A,70,N/A,80.3,81,50,50
Poland,2001,61.8,70,42,N/A,61.3,44.5,N/A,70,N/A,70.9,77.6,70,50
Portugal,2001,66,70,67,N/A,61.6,41.9,N/A,70,N/A,85.2,78,70,50
Romania,2001,50,30,33,N/A,57.6,79.7,N/A,55,N/A,41.4,73.4,50,30
Russia,2001,49.8,50,24,N/A,74.7,73,N/A,55,N/A,38.9,52.2,50,30
Serbia ,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,2001,58.5,50,37,N/A,59.3,39.3,N/A,70,N/A,70.8,80.2,70,50
Slovenia,2001,61.8,70,60,N/A,52.8,47.1,N/A,85,N/A,73.6,67.4,50,50
Spain,2001,68.1,70,66,N/A,53.8,54.4,N/A,70,N/A,80.7,78,70,70
Sweden,2001,66.6,90,94,N/A,33.7,2.5,N/A,70,N/A,91.4,78,70,70
Switzerland,2001,76,90,89,N/A,80.1,22,N/A,70,N/A,90.2,83,70,90
Turkey,2001,60.6,70,36,N/A,66.9,73,N/A,70,N/A,36.4,73,70,50
Ukraine,2001,48.5,30,26,N/A,63.8,49.6,N/A,55,N/A,62.3,70,50,30
United Kingdom,2001,77.6,90,86,N/A,61.7,52,N/A,85,N/A,85.7,78,70,90
Albania,2000,53.6,30,10,N/A,80.2,74.8,N/A,70,N/A,59.7,57.8,70,30
Armenia,2000,63,50,30,N/A,79.3,86.8,N/A,55,N/A,69.1,77,50,70
Austria,2000,68.4,90,75,N/A,44.2,25,N/A,70,N/A,88.4,83,70,70
Azerbaijan,2000,49.8,30,30,N/A,71.3,76.5,N/A,55,N/A,70.7,55,30,30
Belarus,2000,41.3,30,39,N/A,58.3,39.3,N/A,55,N/A,32.5,57.6,30,30
Belgium,2000,63.5,90,54,N/A,33.1,18.9,N/A,70,N/A,87.9,77.8,70,70
Bosnia and Herzegovina,2000,45.1,10,10,N/A,82,52,N/A,40,N/A,83.3,69,30,30
Bulgaria,2000,47.3,50,29,N/A,67.9,54.4,N/A,55,N/A,0,49.8,70,50
Croatia,2000,53.6,30,50,N/A,68.9,41.9,N/A,55,N/A,70,67,50,50
Cyprus,2000,67.2,70,50,N/A,71.7,54.4,N/A,85,N/A,79.8,74.4,50,70
Czech Republic,2000,68.6,70,48,N/A,58.1,49.6,N/A,85,N/A,75,72,70,90
Denmark,2000,68.3,90,100,N/A,30.5,0,N/A,85,N/A,91.1,77.8,70,70
Estonia,2000,69.9,70,57,N/A,72.5,25,N/A,85,N/A,74.9,85,90,70
Finland,2000,64.3,90,96,N/A,37.2,0,N/A,70,N/A,87.8,78,70,50
France,2000,57.4,70,67,N/A,35.1,12.5,N/A,70,N/A,83.9,77.8,50,50
Georgia,2000,54.3,30,10,N/A,90.8,86.8,N/A,55,N/A,67.5,69,50,30
Germany,2000,65.7,90,79,N/A,38.6,28,N/A,70,N/A,88.1,78,70,50
Greece,2000,61,70,49,N/A,52.2,54.4,N/A,70,N/A,75.5,77.8,70,30
Hungary,2000,64.4,70,50,N/A,63.9,39.3,N/A,70,N/A,69.6,76.6,70,70
Iceland,2000,74,90,93,N/A,64.8,58.9,N/A,70,N/A,86.6,82.4,70,50
Ireland,2000,76.1,90,82,N/A,60.6,63.3,N/A,85,N/A,85.8,78,70,70
Italy,2000,61.9,70,46,N/A,45.6,22,N/A,70,N/A,85.7,77.8,70,70
Latvia,2000,63.4,50,27,N/A,76.8,47.1,N/A,70,N/A,78.5,81,70,70
Liechtenstein,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2000,61.9,50,30,N/A,70.5,63.3,N/A,70,N/A,72.3,81,70,50
Luxembourg,2000,76.4,90,87,N/A,51.3,67.3,N/A,85,N/A,88.3,79,70,70
Malta,2000,58.3,70,30,N/A,64.1,36.5,N/A,70,N/A,72.9,61,70,50
Moldova,2000,59.6,50,30,N/A,55.8,85.5,N/A,70,N/A,69.9,75,50,50
Montenegro,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,2000,70.4,90,90,N/A,36.9,28,N/A,70,N/A,80.9,77.8,70,90
North Macedonia,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,2000,70.1,90,90,N/A,57.3,41.9,N/A,70,N/A,80.4,81,70,50
Poland,2000,60,70,46,N/A,58.1,33.7,N/A,70,N/A,66.9,74.8,70,50
Portugal,2000,65.5,70,65,N/A,60.4,41.9,N/A,70,N/A,84.8,77.8,70,50
Romania,2000,52.1,30,30,N/A,58.3,63.3,N/A,55,N/A,38.1,74,70,50
Russia,2000,51.8,50,24,N/A,74.6,73,N/A,55,N/A,57.5,52.4,50,30
Serbia ,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,2000,53.8,50,39,N/A,54.8,25,N/A,70,N/A,73.9,71.2,50,50
Slovenia,2000,58.3,70,50,N/A,52.9,36.5,N/A,70,N/A,71.9,73.6,50,50
Spain,2000,65.9,70,61,N/A,45.8,47.1,N/A,70,N/A,81,77.8,70,70
Sweden,2000,65.1,70,95,N/A,34.1,0,N/A,70,N/A,94.2,83,70,70
Switzerland,2000,76.8,90,89,N/A,80.7,28,N/A,70,N/A,92.2,81,70,90
Turkey,2000,63.4,70,34,N/A,67.2,82.7,N/A,70,N/A,31.8,75,70,70
Ukraine,2000,47.8,30,28,N/A,62.3,41.9,N/A,55,N/A,63,70,50,30
United Kingdom,2000,77.3,90,87,N/A,62.5,49.6,N/A,85,N/A,83.6,77.8,70,90
Albania,1999,53.4,30,10,N/A,82.9,72.5,N/A,70,N/A,57.8,57.8,70,30
Armenia,1999,56.4,50,30,N/A,80.3,82.1,N/A,55,N/A,55.5,75,30,50
Austria,1999,64,90,76,N/A,45.5,3.2,N/A,70,N/A,87.2,63.6,70,70
Azerbaijan,1999,47.4,30,30,N/A,71.6,87.5,N/A,55,N/A,37.8,55,30,30
Belarus,1999,35.4,30,10,N/A,44.9,45.3,N/A,55,N/A,15.9,57.6,30,30
Belgium,1999,62.9,90,53,N/A,33.5,15.7,N/A,70,N/A,86.7,77.8,70,70
Bosnia and Herzegovina,1999,29.4,10,10,N/A,78.8,16.7,N/A,40,N/A,0,69.4,30,10
Bulgaria,1999,46.2,50,30,N/A,68,46.3,N/A,55,N/A,0,46.8,70,50
Croatia,1999,53.1,30,50,N/A,68.4,38.4,N/A,55,N/A,72.1,63.8,50,50
Cyprus,1999,67.8,70,50,N/A,71.2,62.4,N/A,85,N/A,78.4,72.8,50,70
Czech Republic,1999,69.7,70,52,N/A,59.2,44.8,N/A,85,N/A,76.4,79.8,70,90
Denmark,1999,68.1,90,99,N/A,30.3,0,N/A,85,N/A,90.7,77.8,70,70
Estonia,1999,73.8,70,70,N/A,72.8,50.8,N/A,85,N/A,70.2,85,90,70
Finland,1999,63.9,90,95,N/A,38.4,0,N/A,70,N/A,88.6,73.2,70,50
France,1999,59.1,70,67,N/A,42.4,7.6,N/A,85,N/A,82.4,77.8,50,50
Georgia,1999,52.5,30,10,N/A,91.3,86.6,N/A,55,N/A,50.9,69,50,30
Germany,1999,65.6,90,82,N/A,38.3,24.1,N/A,70,N/A,86.6,79.4,70,50
Greece,1999,61,70,54,N/A,47.6,55.8,N/A,70,N/A,73.9,77.8,70,30
Hungary,1999,59.6,70,52,N/A,62.6,12.8,N/A,70,N/A,66.3,63.2,70,70
Iceland,1999,71.4,90,90,N/A,60.5,43.5,N/A,70,N/A,86.4,81.8,70,50
Ireland,1999,74.6,90,83,N/A,55.9,53,N/A,85,N/A,87.1,77.8,70,70
Italy,1999,61.6,70,50,N/A,46.9,15.1,N/A,70,N/A,84.5,77.8,70,70
Latvia,1999,64.2,50,30,N/A,77.1,56.7,N/A,70,N/A,72.9,81,70,70
Liechtenstein,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1999,61.5,50,30,N/A,72.4,64.9,N/A,70,N/A,65.1,81,70,50
Luxembourg,1999,72.4,90,86,N/A,46.5,37.9,N/A,85,N/A,87.4,79,70,70
Malta,1999,59.3,70,30,N/A,67.5,41.9,N/A,70,N/A,73.3,61,70,50
Moldova,1999,56.1,50,30,N/A,58.5,55.1,N/A,70,N/A,65.9,75,50,50
Montenegro,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,1999,70.2,90,90,N/A,37.1,26.2,N/A,70,N/A,80.7,77.8,70,90
North Macedonia,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,1999,68.6,90,89,N/A,57.9,27.4,N/A,70,N/A,80.5,82.4,70,50
Poland,1999,59.6,70,51,N/A,53.2,36,N/A,70,N/A,63.6,73,70,50
Portugal,1999,65.6,70,70,N/A,60.6,37.1,N/A,70,N/A,84.8,77.8,70,50
Romania,1999,50.1,30,34,N/A,45,65.1,N/A,55,N/A,27,74,70,50
Russia,1999,54.5,50,23,N/A,74.3,65.3,N/A,55,N/A,50.3,53.2,50,70
Serbia ,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,1999,54.2,50,50,N/A,53,17.6,N/A,70,N/A,74,73,50,50
Slovenia,1999,61.3,70,50,N/A,52.4,39.5,N/A,70,N/A,70.8,59,70,70
Spain,1999,65.1,70,59,N/A,46.5,42.7,N/A,70,N/A,79.7,77.8,70,70
Sweden,1999,64.2,70,94,N/A,35.4,0,N/A,70,N/A,89.3,79.4,70,70
Switzerland,1999,79.1,90,86,N/A,80.4,54.4,N/A,70,N/A,89.7,81.6,70,90
Turkey,1999,59.2,70,32,N/A,57,57.1,N/A,70,N/A,31.8,74.4,70,70
Ukraine,1999,43.7,30,30,N/A,63,43,N/A,55,N/A,39.3,53,50,30
United Kingdom,1999,76.2,90,82,N/A,62.3,44.5,N/A,85,N/A,84.1,77.8,70,90
Albania,1998,53.9,30,10,N/A,82.1,66.5,N/A,70,N/A,67.7,59,70,30
Armenia,1998,49.6,50,30,N/A,80.9,75.1,N/A,55,N/A,0,75,30,50
Austria,1998,65.4,90,76,N/A,46.5,1.5,N/A,70,N/A,86,78.4,70,70
Azerbaijan,1998,43.1,30,30,N/A,70.3,87.9,N/A,55,N/A,0,55,30,30
Belarus,1998,38,30,10,N/A,43.4,44.5,N/A,55,N/A,0,79,30,50
Belgium,1998,64.7,90,68,N/A,33.7,16.4,N/A,70,N/A,86.1,77.8,70,70
Bosnia and Herzegovina,1998,29.4,10,10,N/A,78.8,16.7,N/A,40,N/A,0,69.4,30,10
Bulgaria,1998,45.7,50,30,N/A,53.5,48.8,N/A,55,N/A,25.2,49,50,50
Croatia,1998,51.7,30,50,N/A,68.3,39.5,N/A,55,N/A,61.8,60.8,50,50
Cyprus,1998,68.2,50,50,N/A,71.1,67.7,N/A,85,N/A,78.9,71.2,70,70
Czech Republic,1998,68.4,70,54,N/A,54.7,39.3,N/A,85,N/A,75.9,77.4,70,90
Denmark,1998,67.5,90,93,N/A,30.6,0,N/A,85,N/A,90.8,77.8,70,70
Estonia,1998,72.5,70,70,N/A,72.2,50.1,N/A,85,N/A,62.3,83,90,70
Finland,1998,63.5,90,91,N/A,38.5,0,N/A,70,N/A,89.5,73.2,70,50
France,1998,58.9,70,70,N/A,38.2,8.6,N/A,85,N/A,81.2,77.8,50,50
Georgia,1998,47.9,30,10,N/A,91.7,95.5,N/A,55,N/A,0,69,50,30
Germany,1998,64.3,90,83,N/A,37.8,26.8,N/A,55,N/A,87,79.4,70,50
Greece,1998,60.6,70,50,N/A,53.3,52.5,N/A,70,N/A,71.4,77.8,70,30
Hungary,1998,56.9,70,49,N/A,55.7,2.9,N/A,70,N/A,63.8,61,70,70
Iceland,1998,71.2,90,90,N/A,61.2,42.4,N/A,70,N/A,85.8,81.2,70,50
Ireland,1998,73.7,90,85,N/A,51.8,48.3,N/A,85,N/A,86.1,77.8,70,70
Italy,1998,59.1,70,34,N/A,43.3,14.5,N/A,70,N/A,81.9,77.8,70,70
Latvia,1998,63.4,50,30,N/A,77.5,56.2,N/A,70,N/A,66,81,70,70
Liechtenstein,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1998,59.4,50,30,N/A,70.7,59.4,N/A,70,N/A,53.9,81,70,50
Luxembourg,1998,72.7,90,90,N/A,45.6,37.9,N/A,85,N/A,87,79,70,70
Malta,1998,61.2,70,30,N/A,66.6,49.6,N/A,70,N/A,74.6,70.4,70,50
Moldova,1998,53.5,50,30,N/A,57.7,52.7,N/A,70,N/A,46.3,75,50,50
Montenegro,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,1998,69.2,90,87,N/A,36.2,20.7,N/A,70,N/A,80.8,77.8,70,90
North Macedonia,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,1998,68,90,89,N/A,57.9,20.1,N/A,70,N/A,82,83,70,50
Poland,1998,59.2,70,56,N/A,51.6,33.2,N/A,70,N/A,59.6,73,70,50
Portugal,1998,65,70,65,N/A,59.8,39.3,N/A,70,N/A,83.1,77.8,70,50
Romania,1998,54.4,30,50,N/A,43.9,64.3,N/A,55,N/A,52.1,74,70,50
Russia,1998,52.8,50,26,N/A,74.2,67.3,N/A,55,N/A,24.3,58.6,50,70
Serbia ,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,1998,57.5,50,50,N/A,66.4,35.4,N/A,70,N/A,72.7,73,50,50
